Date,Open,High,Low,Close,Adj Close,Volume
7/1/2017,15.62,17.48,11.83,14.04,14.04,66428900
8/1/2017,14,16.5,12.5,14.27,14.27,29171000
9/1/2017,14.33,14.7,12.87,13.69,13.69,15933200
10/1/2017,13.61,14.25,11.61,12.54,12.54,17563100
11/1/2017,12.62,13.52,11.11,12.45,12.45,16213900
12/1/2017,12.48,13.85,12.01,12.24,12.24,17876500
1/1/2018,12.34,16.945,12.25,14.67,14.67,29472500
2/1/2018,14.52,15.48,11.62,13.98,13.98,17503400
3/1/2018,14.06,14.84,11.52,12.38,12.38,17978500
4/1/2018,12.37,13,11.46,12.38,12.38,10520900
5/1/2018,12.36,17.5,11.5,15.64,15.64,37612600
6/1/2018,15.48,22.290001,14.95,19.15,19.15,30634200
7/1/2018,19,22.15,17.280001,17.93,17.93,19971300
8/1/2018,18.08,20.549999,17.4,20.17,20.17,14760500
9/1/2018,20.16,24.299999,19.299999,23.950001,23.950001,15331600
10/1/2018,24,24.059999,17.51,18.74,18.74,14128200
11/1/2018,18.889999,20.722,17.33,18.18,18.18,9052600
12/1/2018,18.360001,18.799999,12.19,13,13,14171000
1/1/2019,13.01,16.452,12.83,15.25,15.25,13213400
2/1/2019,15.27,17.51,14.85,17.049999,17.049999,10941300
3/1/2019,17.139999,19.91,15.734,19.620001,19.620001,15553100
4/1/2019,19.780001,20.85,17.32,19.08,19.08,14114400
5/1/2019,19.1,21.93,17.617001,20.559999,20.559999,22221800
6/1/2019,20.34,21.860001,18.969999,21.5,21.5,12101600
7/1/2019,21.75,27.549999,21.395,23.940001,23.940001,23678100
8/1/2019,23.24,24.732,21.620001,23.440001,23.440001,13541900
9/1/2019,23.309999,24.469999,17.902,18.280001,18.280001,15564400
10/1/2019,18.209999,20.780001,17.530001,20.76,20.76,10084300
11/1/2019,20.68,26.67,18.59,25.98,25.98,9839000
12/1/2019,25.83,25.969999,15.86,16.110001,16.110001,23490900
1/1/2020,16.129999,18.32,14.775,16.1,16.1,13619800
2/1/2020,16.23,17.85,12.63,15.03,15.03,8708600
3/1/2020,15.3,16.41,8.88,13.21,13.21,12527300
4/1/2020,12.73,17.15,11.94,14.82,14.82,10636500
5/1/2020,14.59,16.91,13.631,15.87,15.87,11880400
6/1/2020,15.88,17.91,14.7,17.1,17.1,12341200
7/1/2020,17.1,17.98,17.01,17.52,17.52,1004100
7/6/2020,17.690001,17.950001,17.450001,17.57,17.57,278927
